# N L C C_rand S
59517 7.2701 0.0229 0.0001 247.8275
185 5.8596 0.1010 0.0140 6.7486
114 5.4727 0.0933 0.0227 3.7854
106 4.7270 0.1309 0.0280 4.2681
123 5.5861 0.0792 0.0213 3.3477
128 5.1786 0.0953 0.0219 3.9844
100 5.5508 0.0943 0.0263 3.1176
131 4.8566 0.0825 0.0202 4.2490
149 4.6857 0.0885 0.0208 4.0520
100 5.0229 0.0685 0.0259 2.5825
246 5.5166 0.0800 0.0120 6.1868
171 4.9562 0.1192 0.0169 6.9165
257 5.5621 0.0717 0.0117 5.5461
182 5.1960 0.0850 0.0157 5.2162
302 5.2184 0.0744 0.0105 6.7748
514 5.5939 0.0752 0.0065 10.6733
184 4.9782 0.0946 0.0152 6.3683
450 5.7649 0.0526 0.0072 6.6600
164 4.9835 0.0689 0.0189 3.3074
618 5.6910 0.0450 0.0057 7.0061
258 5.4501 0.0618 0.0118 4.8358
324 5.7148 0.0678 0.0094 6.5884
352 5.5431 0.0931 0.0093 8.9962
1301 6.2011 0.0561 0.0028 18.0378
265 5.6976 0.0488 0.0107 4.2834
1481 5.8787 0.0478 0.0026 17.1205
2104 6.1415 0.0540 0.0019 26.4145
445 5.9456 0.0532 0.0071 6.6860
271 5.3569 0.0357 0.0111 3.0638
4104 6.2638 0.0295 0.0010 26.4374
100913 7.3675 0.0189 0.0001 327.1126
